"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 08:14:00 GMT 2023","Tue Apr 11 08:14:03 GMT 2023","3605","Conduit_code.Main","test_main","TestConduitPage","","","Accept cookies",""
"passed","Tue Apr 11 08:14:17 GMT 2023","Tue Apr 11 08:14:21 GMT 2023","4141","Conduit_code.Main","test_main","TestConduitPage","","","New data entry",""
"passed","Tue Apr 11 08:14:08 GMT 2023","Tue Apr 11 08:14:11 GMT 2023","2546","Conduit_code.Main","test_main","TestConduitPage","","","Sign in - proper data",""
"passed","Tue Apr 11 08:15:40 GMT 2023","Tue Apr 11 08:15:43 GMT 2023","2705","Conduit_code.Main","test_main","TestConduitPage","","","Save data to file",""
"passed","Tue Apr 11 08:15:43 GMT 2023","Tue Apr 11 08:15:47 GMT 2023","3596","Conduit_code.Main","test_main","TestConduitPage","","","Logout",""
"passed","Tue Apr 11 08:14:04 GMT 2023","Tue Apr 11 08:14:07 GMT 2023","2727","Conduit_code.Main","test_main","TestConduitPage","","","Sign up - proper data",""
"passed","Tue Apr 11 08:14:14 GMT 2023","Tue Apr 11 08:14:16 GMT 2023","1686","Conduit_code.Main","test_main","TestConduitPage","","","Visit all pages",""
"passed","Tue Apr 11 08:14:53 GMT 2023","Tue Apr 11 08:15:33 GMT 2023","40092","Conduit_code.Main","test_main","TestConduitPage","","","Delete entered, modified data",""
"passed","Tue Apr 11 08:14:22 GMT 2023","Tue Apr 11 08:14:52 GMT 2023","30119","Conduit_code.Main","test_main","TestConduitPage","","","Modify entered data",""
"passed","Tue Apr 11 08:15:34 GMT 2023","Tue Apr 11 08:15:39 GMT 2023","5181","Conduit_code.Main","test_main","TestConduitPage","","","Enter data from file",""
"passed","Tue Apr 11 08:14:11 GMT 2023","Tue Apr 11 08:14:13 GMT 2023","1649","Conduit_code.Main","test_main","TestConduitPage","","","Collecting data into list",""
